frame,t,filtered_signal_norm_offline,displacement_norm_offline
5.100000000000000000e+01,1.683333333333333348e+00,6.028335500624142362e-01,1.644770330475304188e-01
5.200000000000000000e+01,1.716666666666666563e+00,6.062642147637408163e-01,1.708573153941575773e-01
5.300000000000000000e+01,1.750000000000000000e+00,6.074373756893600707e-01,1.773117840183085769e-01
5.400000000000000000e+01,1.783333333333333437e+00,6.065501171533901337e-01,1.837101457550347483e-01
5.500000000000000000e+01,1.816666666666666652e+00,6.038509859083776021e-01,1.899378245997186687e-01
5.600000000000000000e+01,1.850000000000000089e+00,5.996669875691420515e-01,1.959009231509616644e-01
5.700000000000000000e+01,1.883333333333333304e+00,5.944123261167876260e-01,2.015317367067830656e-01
5.800000000000000000e+01,1.916666666666666741e+00,5.885478227298003295e-01,2.067917011605712174e-01
5.900000000000000000e+01,1.949999999999999956e+00,5.825108524772435459e-01,2.116699103574470608e-01
6.000000000000000000e+01,1.983333333333333393e+00,5.766779562727929465e-01,2.161792691714458925e-01
6.100000000000000000e+01,2.016666666666666607e+00,5.713805813344130513e-01,2.203536419500728705e-01
6.200000000000000000e+01,2.049999999999999822e+00,5.669286149566771238e-01,2.242464891459659826e-01
6.300000000000000000e+01,2.083333333333333481e+00,5.636130403767852792e-01,2.279296718955215462e-01
6.400000000000000000e+01,2.116666666666666696e+00,5.617085279228839489e-01,2.314924204519777928e-01
6.500000000000000000e+01,2.149999999999999911e+00,5.614802201801676329e-01,2.350407316868422802e-01
6.600000000000000000e+01,2.183333333333333126e+00,5.631733091119354162e-01,2.386961074877196054e-01
6.700000000000000000e+01,2.216666666666666785e+00,5.669883870690703986e-01,2.425927344468330749e-01
6.800000000000000000e+01,2.250000000000000000e+00,5.730694209147391138e-01,2.468739030784953825e-01
6.900000000000000000e+01,2.283333333333333215e+00,5.815218067087832843e-01,2.516895687468062581e-01
7.000000000000000000e+01,2.316666666666666874e+00,5.924463634550505287e-01,2.571960622298736787e-01
7.100000000000000000e+01,2.350000000000000089e+00,6.059600341267880053e-01,2.635571093388981989e-01
7.200000000000000000e+01,2.383333333333333304e+00,6.221948612594780936e-01,2.709447857576070540e-01
7.300000000000000000e+01,2.416666666666666519e+00,6.412683300630993566e-01,2.795385964918281618e-01
7.400000000000000000e+01,2.450000000000000178e+00,6.632007707774705274e-01,2.895193321551696175e-01
7.500000000000000000e+01,2.483333333333333393e+00,6.878015180909918813e-01,3.010557264051887394e-01
7.600000000000000000e+01,2.516666666666666607e+00,7.145982809950575110e-01,3.142866469952255160e-01
7.700000000000000000e+01,2.549999999999999822e+00,7.428453495787038507e-01,3.293038057930126605e-01
7.800000000000000000e+01,2.583333333333333481e+00,7.715883307439662664e-01,3.461385624420602047e-01
7.900000000000000000e+01,2.616666666666666696e+00,7.997580068388985275e-01,3.647546632894169694e-01
8.000000000000000000e+01,2.649999999999999911e+00,8.262810368191648713e-01,3.850479806378689918e-01
8.100000000000000000e+01,2.683333333333333126e+00,8.501882043123899502e-01,4.068530971979466004e-01
8.200000000000000000e+01,2.716666666666666785e+00,8.706961517826734553e-01,4.299550591005941169e-01
8.300000000000000000e+01,2.750000000000000000e+00,8.872564722693012662e-01,4.541042332864636544e-01
8.400000000000000000e+01,2.783333333333333215e+00,8.995629425608118179e-01,4.790316222938869606e-01
8.500000000000000000e+01,2.816666666666666874e+00,9.075081003698157733e-01,5.044614331509625904e-01
8.600000000000000000e+01,2.850000000000000089e+00,9.111184179209302902e-01,5.301195468895500973e-01
8.700000000000000000e+01,2.883333333333333304e+00,9.105110824194651009e-01,5.557392550189174107e-01
8.800000000000000000e+01,2.916666666666666519e+00,9.058800323968623225e-01,5.810661129904751698e-01
8.900000000000000000e+01,2.950000000000000178e+00,8.974949878375676482e-01,6.058627323313889868e-01
9.000000000000000000e+01,2.983333333333333393e+00,8.857030084647452561e-01,6.299136713183088876e-01
9.100000000000000000e+01,3.016666666666666607e+00,8.709262971475242310e-01,6.530301867468495391e-01
9.200000000000000000e+01,3.049999999999999822e+00,8.536583698008399779e-01,6.750547434999627505e-01
9.300000000000000000e+01,3.083333333333333481e+00,8.344582069485872999e-01,6.958651542831970627e-01
9.400000000000000000e+01,3.116666666666666696e+00,8.139208776414968982e-01,7.153768617271860641e-01
9.500000000000000000e+01,3.149999999999999911e+00,7.926296518856897899e-01,7.335421922605146472e-01
9.600000000000000000e+01,3.183333333333333126e+00,7.711419984477325684e-01,7.503487245365260128e-01
9.700000000000000000e+01,3.216666666666666785e+00,7.500243551012725218e-01,7.658198565995418816e-01
9.800000000000000000e+01,3.250000000000000000e+00,7.298671216972315579e-01,7.800163211563627685e-01
9.900000000000000000e+01,3.283333333333333215e+00,7.112189858262173425e-01,7.930335478500586399e-01
1.000000000000000000e+02,3.316666666666666874e+00,6.944746422681369324e-01,8.049919253347267434e-01
1.010000000000000000e+02,3.350000000000000089e+00,6.797982491195305732e-01,8.160222230040904412e-01
1.020000000000000000e+02,3.383333333333333304e+00,6.671326482306525474e-01,8.262515957858028726e-01
1.030000000000000000e+02,3.416666666666666519e+00,6.562756684997421708e-01,8.357944140686406342e-01
1.040000000000000000e+02,3.450000000000000178e+00,6.469485909798713408e-01,8.447474231051381732e-01
1.050000000000000000e+02,3.483333333333333393e+00,6.388139812544013640e-01,8.531860300664699803e-01
1.060000000000000000e+02,3.516666666666666607e+00,6.314721154049206531e-01,8.611603650890098383e-01
1.070000000000000000e+02,3.549999999999999822e+00,6.244654861578801119e-01,8.686916272726267207e-01
1.080000000000000000e+02,3.583333333333333481e+00,6.172919370241061188e-01,8.757692612324874393e-01
1.090000000000000000e+02,3.616666666666666696e+00,6.094282746876061863e-01,8.823496268093756756e-01
1.100000000000000000e+02,3.649999999999999911e+00,6.003613219572740967e-01,8.883566324516982693e-01
1.110000000000000000e+02,3.683333333333333126e+00,5.896169563610956788e-01,8.936842048887982948e-01
1.120000000000000000e+02,3.716666666666666785e+00,5.767927783885953286e-01,8.982008246208541546e-01
1.130000000000000000e+02,3.750000000000000000e+00,5.615950258529913697e-01,9.017563957339839176e-01
1.140000000000000000e+02,3.783333333333333215e+00,5.438552920363162180e-01,9.041901729078650751e-01
1.150000000000000000e+02,3.816666666666666874e+00,5.235117413191825442e-01,9.053375005705467382e-01
1.160000000000000000e+02,3.850000000000000089e+00,5.005711236522115692e-01,9.050341499915272037e-01
1.170000000000000000e+02,3.883333333333333304e+00,4.750771194178189938e-01,9.031186546231405599e-01
1.180000000000000000e+02,3.916666666666666519e+00,4.471002017151475827e-01,8.994340043710313815e-01
1.190000000000000000e+02,3.950000000000000178e+00,4.167442852156578725e-01,8.938297603132110414e-01
1.200000000000000000e+02,3.983333333333333393e+00,3.841474933577290751e-01,8.861642179336089997e-01
1.210000000000000000e+02,4.016666666666666607e+00,3.494850836816848494e-01,8.763067553427928980e-01
1.220000000000000000e+02,4.049999999999999822e+00,3.130204446781932881e-01,8.641434063472696048e-01
1.230000000000000000e+02,4.083333333333333037e+00,2.751999354943694964e-01,8.495884308245308381e-01
1.240000000000000000e+02,4.116666666666666252e+00,2.367254629091148366e-01,8.326004745926144368e-01
1.250000000000000000e+02,4.150000000000000355e+00,1.985548122376892266e-01,8.131987502048240168e-01
1.260000000000000000e+02,4.183333333333333570e+00,1.618245638131810271e-01,7.914743432731180528e-01
1.270000000000000000e+02,4.216666666666666785e+00,1.277320638938246322e-01,7.675940550763050707e-01
1.280000000000000000e+02,4.250000000000000000e+00,9.742646691935125114e-02,7.417973550909841007e-01
1.290000000000000000e+02,4.283333333333333215e+00,7.191622270225066227e-02,7.143874833609672459e-01
1.300000000000000000e+02,4.316666666666666430e+00,5.196614996822585680e-02,6.857160441851323229e-01
1.310000000000000000e+02,4.349999999999999645e+00,3.800183191757709050e-02,6.561615541407309626e-01
1.320000000000000000e+02,4.383333333333333748e+00,3.008670359198998071e-02,6.261065411980843987e-01
1.330000000000000000e+02,4.416666666666666963e+00,2.799599841477546161e-02,5.959193199359226201e-01
1.340000000000000000e+02,4.450000000000000178e+00,3.133556305260867120e-02,5.659432801609896035e-01
1.350000000000000000e+02,4.483333333333333393e+00,3.962886321148574587e-02,5.364916774464283389e-01
1.360000000000000000e+02,4.516666666666666607e+00,5.234390454645735519e-02,5.078441260470822893e-01
1.370000000000000000e+02,4.549999999999999822e+00,6.888540812251994772e-02,4.802425970204191596e-01
1.380000000000000000e+02,4.583333333333333037e+00,8.857034422905941951e-02,4.538858691980474092e-01
1.390000000000000000e+02,4.616666666666666252e+00,1.106066561651483510e-01,4.289226347295643227e-01
1.400000000000000000e+02,4.650000000000000355e+00,1.341415407373787450e-01,4.054476577032092854e-01
1.410000000000000000e+02,4.683333333333333570e+00,1.583946169687023842e-01,3.835063538540049444e-01
1.420000000000000000e+02,4.716666666666666785e+00,1.827642352658425673e-01,3.631060928631681395e-01
1.430000000000000000e+02,4.750000000000000000e+00,2.068205035510720102e-01,3.442270596563657969e-01
1.440000000000000000e+02,4.783333333333333215e+00,2.302370438421805776e-01,3.268288002451679164e-01
1.450000000000000000e+02,4.816666666666666430e+00,2.527568964211146518e-01,3.108546114765671775e-01
1.460000000000000000e+02,4.849999999999999645e+00,2.742170338239507399e-01,2.962374809548781740e-01
1.470000000000000000e+02,4.883333333333333748e+00,2.945791285450450880e-01,2.829079725973421833e-01
1.480000000000000000e+02,4.916666666666666963e+00,3.139161507694935849e-01,2.708012646808198864e-01
1.490000000000000000e+02,4.950000000000000178e+00,3.323649398395012167e-01,2.598611886866859511e-01
1.500000000000000000e+02,4.983333333333333393e+00,3.500802607291715329e-01,2.500413628502624608e-01
1.510000000000000000e+02,5.016666666666666607e+00,3.671965949459077283e-01,2.413039095107946674e-01
1.520000000000000000e+02,5.049999999999999822e+00,3.837961787844124117e-01,2.336161513210126273e-01
1.530000000000000000e+02,5.083333333333333037e+00,3.999000243955912470e-01,2.269467396629147038e-01
1.540000000000000000e+02,5.116666666666666252e+00,4.154798565874647798e-01,2.212625379018741678e-01
1.550000000000000000e+02,5.150000000000000355e+00,4.304684630870005968e-01,2.165261591523126306e-01
1.560000000000000000e+02,5.183333333333333570e+00,4.447707366416521202e-01,2.126942023042791563e-01
1.570000000000000000e+02,5.216666666666666785e+00,4.582896624767633376e-01,2.097171313989379116e-01
1.580000000000000000e+02,5.250000000000000000e+00,4.709608452898709774e-01,2.075413383611083851e-01
1.590000000000000000e+02,5.283333333333333215e+00,4.827778070009660638e-01,2.061128054662340336e-01
1.600000000000000000e+02,5.316666666666666430e+00,4.937952614072053104e-01,2.053809748841783633e-01
1.610000000000000000e+02,5.349999999999999645e+00,5.041119561544631367e-01,2.053015332139377647e-01
1.620000000000000000e+02,5.383333333333333748e+00,5.138462387864018988e-01,2.058376509073430172e-01
1.630000000000000000e+02,5.416666666666666963e+00,5.231205345823806141e-01,2.069602401297034600e-01
1.640000000000000000e+02,5.450000000000000178e+00,5.320687772491990986e-01,2.086486825094053532e-01
1.650000000000000000e+02,5.483333333333333393e+00,5.408630641910753267e-01,2.108932424663694516e-01
1.660000000000000000e+02,5.516666666666666607e+00,5.497365952982307125e-01,2.136989311030876582e-01
1.670000000000000000e+02,5.549999999999999822e+00,5.589870115835430253e-01,2.170895812184630846e-01
1.680000000000000000e+02,5.583333333333333037e+00,5.689613771846105950e-01,2.211109726400359021e-01
1.690000000000000000e+02,5.616666666666666252e+00,5.800293043950250915e-01,2.258322580844273619e-01
1.700000000000000000e+02,5.650000000000000355e+00,5.925531858869926838e-01,2.313455066156803464e-01
1.710000000000000000e+02,5.683333333333333570e+00,6.068635253128027429e-01,2.377636871037684674e-01
1.720000000000000000e+02,5.716666666666666785e+00,6.232388196091503962e-01,2.452173795158170411e-01
1.730000000000000000e+02,5.750000000000000000e+00,6.418822105585957338e-01,2.538500097400253064e-01
1.740000000000000000e+02,5.783333333333333215e+00,6.628892075622816460e-01,2.638110433193273652e-01
1.750000000000000000e+02,5.816666666666666430e+00,6.862126164208876000e-01,2.752469614132776465e-01
1.760000000000000000e+02,5.849999999999999645e+00,7.116251515941954819e-01,2.882898725000740403e-01
1.770000000000000000e+02,5.883333333333333748e+00,7.386668413724331028e-01,3.030427981797471637e-01
1.780000000000000000e+02,5.916666666666666963e+00,7.665942745172178441e-01,3.195617495261149910e-01
1.790000000000000000e+02,5.950000000000000178e+00,7.943939784438847074e-01,3.378386494245925187e-01
1.800000000000000000e+02,5.983333333333333393e+00,8.208983610545871334e-01,3.577915866347604612e-01
1.810000000000000000e+02,6.016666666666666607e+00,8.449541787254915004e-01,3.792657231338105728e-01
1.820000000000000000e+02,6.049999999999999822e+00,8.655628399484074365e-01,4.020430737337485350e-01
1.830000000000000000e+02,6.083333333333333037e+00,8.819635902934971350e-01,4.258575460022740455e-01
1.840000000000000000e+02,6.116666666666666252e+00,8.936638884990371068e-01,4.504119010531463241e-01
1.850000000000000000e+02,6.150000000000000355e+00,9.004270524985097390e-01,4.753939331178426708e-01
1.860000000000000000e+02,6.183333333333333570e+00,9.022359840743939818e-01,5.004903552009752898e-01
1.870000000000000000e+02,6.216666666666666785e+00,8.992510156374210473e-01,5.253980191248226461e-01
