frame,t,filtered_signal_norm_offline,displacement_norm_offline
0.000000000000000000e+00,0.000000000000000000e+00,nan,nan
1.000000000000000000e+00,1.666666666666666644e-02,6.818862833974945747e-01,4.745374381684376308e-01
2.000000000000000000e+00,5.000000000000000278e-02,6.756453313596746391e-01,4.883986061871982143e-01
3.000000000000000000e+00,8.333333333333332871e-02,6.679159269015092493e-01,5.016533063997720143e-01
4.000000000000000000e+00,1.166666666666666685e-01,6.586777718267988746e-01,5.141831585762913770e-01
5.000000000000000000e+00,1.499999999999999944e-01,6.480558884070545256e-01,5.258795920373057209e-01
6.000000000000000000e+00,1.833333333333333204e-01,6.362886295362866207e-01,5.366527378490826283e-01
7.000000000000000000e+00,2.166666666666666741e-01,6.236835287683446527e-01,5.464368569058397629e-01
8.000000000000000000e+00,2.500000000000000000e-01,6.105925776852206832e-01,5.551938282143776826e-01
9.000000000000000000e+00,2.833333333333333259e-01,5.974091415690904183e-01,5.629163951748671346e-01
1.000000000000000000e+01,3.166666666666666519e-01,5.845676878942687171e-01,5.696313905584559079e-01
1.100000000000000000e+01,3.499999999999999778e-01,5.725250529209136019e-01,5.754014916164176263e-01
1.200000000000000000e+01,3.833333333333333592e-01,5.617269561711273340e-01,5.803243478339419337e-01
1.300000000000000000e+01,4.166666666666666852e-01,5.525853785693007891e-01,5.845299337179921118e-01
1.400000000000000000e+01,4.500000000000000111e-01,5.454786343413725591e-01,5.881779072265522768e-01
1.500000000000000000e+01,4.833333333333333370e-01,5.407403021649737074e-01,5.914540997090892427e-01
1.600000000000000000e+01,5.166666666666667185e-01,5.385795283725095528e-01,5.945607526431818668e-01
1.700000000000000000e+01,5.500000000000000444e-01,5.389575472039147552e-01,5.976970658509243028e-01
1.800000000000000000e+01,5.833333333333333703e-01,5.415381173147575389e-01,6.010358568436376947e-01
1.900000000000000000e+01,6.166666666666666963e-01,5.457614613338317433e-01,6.047060216434640978e-01
2.000000000000000000e+01,6.500000000000000222e-01,5.509615268298823088e-01,6.087841961845954497e-01
2.100000000000000000e+01,6.833333333333333481e-01,5.564393835740375494e-01,6.132921766415918574e-01
2.200000000000000000e+01,7.166666666666666741e-01,5.614880110810849256e-01,6.181962846482622620e-01
2.300000000000000000e+01,7.500000000000000000e-01,5.654025933814272875e-01,6.234075402693025625e-01
2.400000000000000000e+01,7.833333333333333259e-01,5.674918931108475784e-01,6.287827274105817210e-01
2.500000000000000000e+01,8.166666666666666519e-01,5.670967241575840534e-01,6.341269086380861841e-01
2.600000000000000000e+01,8.499999999999999778e-01,5.636238636039185845e-01,6.391986008099884708e-01
2.700000000000000000e+01,8.833333333333333037e-01,5.565894631785618385e-01,6.437183568764773822e-01
2.800000000000000000e+01,9.166666666666666297e-01,5.456514325665549059e-01,6.473798885525660074e-01
2.900000000000000000e+01,9.499999999999999556e-01,5.306189746679597086e-01,6.498619371504047448e-01
3.000000000000000000e+01,9.833333333333332815e-01,5.114476552601286974e-01,6.508397575653480649e-01
3.100000000000000000e+01,1.016666666666666607e+00,4.882375865809579496e-01,6.499964597415597289e-01
3.200000000000000000e+01,1.050000000000000044e+00,4.612432786994123957e-01,6.470351231000259773e-01
3.300000000000000000e+01,1.083333333333333259e+00,4.308931264043580622e-01,6.416924399550927305e-01
3.400000000000000000e+01,1.116666666666666696e+00,3.978092162359341821e-01,6.337539130386870001e-01
3.500000000000000000e+01,1.149999999999999911e+00,3.628082140028383029e-01,6.230691226612955491e-01
3.600000000000000000e+01,1.183333333333333348e+00,3.268794464903028718e-01,6.095652741106318828e-01
3.700000000000000000e+01,1.216666666666666563e+00,2.911597844445104610e-01,5.932587743083886922e-01
3.800000000000000000e+01,1.250000000000000000e+00,2.569006256007627664e-01,5.742642178753635251e-01
3.900000000000000000e+01,1.283333333333333437e+00,2.253957899726650727e-01,5.527977156862252661e-01
4.000000000000000000e+01,1.316666666666666652e+00,1.978596904272023616e-01,5.291706643923453912e-01
4.100000000000000000e+01,1.350000000000000089e+00,1.752821170321227084e-01,5.037721219725914690e-01
4.200000000000000000e+01,1.383333333333333304e+00,1.583281535683180585e-01,4.770433304911260719e-01
4.300000000000000000e+01,1.416666666666666741e+00,1.473378115940457700e-01,4.494522101429991867e-01
4.400000000000000000e+01,1.449999999999999956e+00,1.423933868774644729e-01,4.214731382486761602e-01
4.500000000000000000e+01,1.483333333333333393e+00,1.433876352651396735e-01,3.935720774924352794e-01
4.600000000000000000e+01,1.516666666666666607e+00,1.500591397314051945e-01,3.661944791451702819e-01
4.700000000000000000e+01,1.550000000000000044e+00,1.619990827041117853e-01,3.397537176602850040e-01
4.800000000000000000e+01,1.583333333333333259e+00,1.786548797086809359e-01,3.146198103741058572e-01
4.900000000000000000e+01,1.616666666666666696e+00,1.993476278740201335e-01,2.911095062583557991e-01
5.000000000000000000e+01,1.649999999999999911e+00,2.233060278125705844e-01,2.694790362655472560e-01
5.100000000000000000e+01,1.683333333333333348e+00,2.497026545137157882e-01,2.499197095765749999e-01
5.200000000000000000e+01,1.716666666666666563e+00,2.776706415380171267e-01,2.325548189306237412e-01
5.300000000000000000e+01,1.750000000000000000e+00,3.063107883887354888e-01,2.174371036166697080e-01
5.400000000000000000e+01,1.783333333333333437e+00,3.347062045938790642e-01,2.045473614751504576e-01
5.500000000000000000e+01,1.816666666666666652e+00,3.619408080041881526e-01,1.937945123209254550e-01
5.600000000000000000e+01,1.850000000000000089e+00,3.871460863218917359e-01,1.850193303891101981e-01
5.700000000000000000e+01,1.883333333333333304e+00,4.095972634910321486e-01,1.780057222289576635e-01
5.800000000000000000e+01,1.916666666666666741e+00,4.288089268753397798e-01,1.724995077378695951e-01
5.900000000000000000e+01,1.949999999999999956e+00,4.445757013890081488e-01,1.682303925862840555e-01
6.000000000000000000e+01,1.983333333333333393e+00,4.569575147846856589e-01,1.649327845213482135e-01
6.100000000000000000e+01,2.016666666666666607e+00,4.662244659068099928e-01,1.623622839001348239e-01
6.200000000000000000e+01,2.049999999999999822e+00,4.727783945173932301e-01,1.603060204013125878e-01
6.300000000000000000e+01,2.083333333333333481e+00,4.770877777246717022e-01,1.585878815528280472e-01
6.400000000000000000e+01,2.116666666666666696e+00,4.796718453741626309e-01,1.570724949146731497e-01
6.500000000000000000e+01,2.149999999999999911e+00,4.811104833062659902e-01,1.556699872952449493e-01
6.600000000000000000e+01,2.183333333333333126e+00,4.820058681706330117e-01,1.543377337422619233e-01
6.700000000000000000e+01,2.216666666666666785e+00,4.828805925618607775e-01,1.530741131849303605e-01
6.800000000000000000e+01,2.250000000000000000e+00,4.840811137431687561e-01,1.519046884289764476e-01
6.900000000000000000e+01,2.283333333333333215e+00,4.857389896437055987e-01,1.508653446340809945e-01
7.000000000000000000e+01,2.316666666666666874e+00,4.877885049027755882e-01,1.499868107734621536e-01
7.100000000000000000e+01,2.350000000000000089e+00,4.900248044411296688e-01,1.492837423943486341e-01
7.200000000000000000e+01,2.383333333333333304e+00,4.921803705306413979e-01,1.487498049546848722e-01
7.300000000000000000e+01,2.416666666666666519e+00,4.939928430484198385e-01,1.483580785013370595e-01
7.400000000000000000e+01,2.450000000000000178e+00,4.952537885356367298e-01,1.480652888868482786e-01
7.500000000000000000e+01,2.483333333333333393e+00,4.958444943059688303e-01,1.478188474786894802e-01
7.600000000000000000e+01,2.516666666666666607e+00,4.957570176902331149e-01,1.475655424432583407e-01
7.700000000000000000e+01,2.549999999999999822e+00,4.950874481647041248e-01,1.472597013601362748e-01
7.800000000000000000e+01,2.583333333333333481e+00,4.940061357488078064e-01,1.468690178842761151e-01
7.900000000000000000e+01,2.616666666666666696e+00,4.927340529919891909e-01,1.463785237123925165e-01
8.000000000000000000e+01,2.649999999999999911e+00,4.915448792081453799e-01,1.457947240834371327e-01
8.100000000000000000e+01,2.683333333333333126e+00,4.907780679564646142e-01,1.451507585852891968e-01
8.200000000000000000e+01,2.716666666666666785e+00,4.908329081349777634e-01,1.445110959804539463e-01
8.300000000000000000e+01,2.750000000000000000e+00,4.921397877383667518e-01,1.439739743165549257e-01
8.400000000000000000e+01,2.783333333333333215e+00,4.951303707457704317e-01,1.436715010431672268e-01
8.500000000000000000e+01,2.816666666666666874e+00,5.002170848195179875e-01,1.437681436837805471e-01
8.600000000000000000e+01,2.850000000000000089e+00,5.077799479365507906e-01,1.444581868933383084e-01
8.700000000000000000e+01,2.883333333333333304e+00,5.181646881932058246e-01,1.459630419911028820e-01
8.800000000000000000e+01,2.916666666666666519e+00,5.316903046290836210e-01,1.485291497340856248e-01
8.900000000000000000e+01,2.950000000000000178e+00,5.486537924809039568e-01,1.524262538453460547e-01
9.000000000000000000e+01,2.983333333333333393e+00,5.693267581396433963e-01,1.579454089436243547e-01
9.100000000000000000e+01,3.016666666666666607e+00,5.939298600208234857e-01,1.653949830417136835e-01
9.200000000000000000e+01,3.049999999999999822e+00,6.225552736730638470e-01,1.750905764693413968e-01
9.300000000000000000e+01,3.083333333333333481e+00,6.550507841368330419e-01,1.873358464016134928e-01
9.400000000000000000e+01,3.116666666666666696e+00,6.909346659122710399e-01,2.023966526634435048e-01
9.500000000000000000e+01,3.149999999999999911e+00,7.293859288919979367e-01,2.204744382062304442e-01
9.600000000000000000e+01,3.183333333333333126e+00,7.692877563850802902e-01,2.416830178371704718e-01
9.700000000000000000e+01,3.216666666666666785e+00,8.092792949486754539e-01,2.660294305042729679e-01
9.800000000000000000e+01,3.250000000000000000e+00,8.478176125523534390e-01,2.933996529691065835e-01
9.900000000000000000e+01,3.283333333333333215e+00,8.832889917702976268e-01,3.235530458131272158e-01
1.000000000000000000e+02,3.316666666666666874e+00,9.141784923520757111e-01,3.561301037342473608e-01
1.010000000000000000e+02,3.350000000000000089e+00,9.392650010919942893e-01,3.906755099288632960e-01
1.020000000000000000e+02,3.383333333333333304e+00,9.577475828570829464e-01,4.266711042817528110e-01
1.030000000000000000e+02,3.416666666666666519e+00,9.692277834336910924e-01,4.635674629944273595e-01
1.040000000000000000e+02,3.450000000000000178e+00,9.736317352849102047e-01,5.008093664424326796e-01
1.050000000000000000e+02,3.483333333333333393e+00,9.711772144736667833e-01,5.378586822389970212e-01
1.060000000000000000e+02,3.516666666666666607e+00,9.623738808282120694e-01,5.742172671426466479e-01
1.070000000000000000e+02,3.549999999999999822e+00,9.479966056731392587e-01,6.094477761939544047e-01
1.080000000000000000e+02,3.583333333333333481e+00,9.289791680243741911e-01,6.431861309981192765e-01
1.090000000000000000e+02,3.616666666666666696e+00,9.062650024837691776e-01,6.751422773256375853e-01
1.100000000000000000e+02,3.649999999999999911e+00,8.807213031688225779e-01,7.050942030991308451e-01
1.110000000000000000e+02,3.683333333333333126e+00,8.531339835081850342e-01,7.328815609135128639e-01
1.120000000000000000e+02,3.716666666666666785e+00,8.242249358451571029e-01,7.584006447864761746e-01
1.130000000000000000e+02,3.750000000000000000e+00,7.946600230906264439e-01,7.815999939534366003e-01
1.140000000000000000e+02,3.783333333333333215e+00,7.650457921415537710e-01,8.024757387893263205e-01
1.150000000000000000e+02,3.816666666666666874e+00,7.359268168368312546e-01,8.210667382522652824e-01
1.160000000000000000e+02,3.850000000000000089e+00,7.077978835270539726e-01,8.374506734365676497e-01
1.170000000000000000e+02,3.883333333333333304e+00,6.811216016040382293e-01,8.517415228905746982e-01
1.180000000000000000e+02,3.916666666666666519e+00,6.563192757044947756e-01,8.640863217454654022e-01
1.190000000000000000e+02,3.950000000000000178e+00,6.337271987694417241e-01,8.746584914915863651e-01
1.200000000000000000e+02,3.983333333333333393e+00,6.135531402410261403e-01,8.836477557132477179e-01
1.210000000000000000e+02,4.016666666666666607e+00,5.958601952129108925e-01,8.912487885887222516e-01
1.220000000000000000e+02,4.049999999999999822e+00,5.805740943350008454e-01,8.976504369430802210e-01
1.230000000000000000e+02,4.083333333333333037e+00,5.675029827682410710e-01,9.030264942057545374e-01
1.240000000000000000e+02,4.116666666666666252e+00,5.563637646157496564e-01,9.075285414160191300e-01
1.250000000000000000e+02,4.150000000000000355e+00,5.468106116136914885e-01,9.112810250894447517e-01
