gt_action_0,gt_action_1,gt_action_2,pred_action_0,pred_action_1,pred_action_2,state_0
0.054310001,-0.002449,0.0094,0.054390956,-0.002355267,0.00901028,4.75E-01
0.054267999,-0.002406,0.009428,0.054273013,-0.002432215,0.009056915,4.88E-01
0.054246999,-0.002424,0.009418,0.054134798,-0.002418158,0.00912281,5.02E-01
0.054232001,-0.002424,0.009438,0.054134709,-0.002449317,0.009073454,5.14E-01
0.054226998,-0.002448,0.009418,0.054107388,-0.002487338,0.009067389,5.26E-01
0.054202002,-0.002435,0.009426,0.054030804,-0.002418179,0.009127413,5.37E-01
0.054191001,-0.002419,0.009423,0.054009573,-0.002426745,0.009142139,5.46E-01
0.054149002,-0.002367,0.009469,0.053974983,-0.002416257,0.009194207,5.55E-01
0.054125998,-0.002375,0.009473,0.053806625,-0.002486611,0.009113411,5.63E-01
0.054078002,-0.002342,0.009491,0.053666392,-0.002354203,0.009172205,5.70E-01
0.054028999,-0.002319,0.009485,0.053615372,-0.002328447,0.009174772,5.75E-01
0.053987999,-0.002304,0.009509,0.05338201,-0.002348852,0.00918628,5.80E-01
0.053925999,-0.002238,0.009558,0.053424433,-0.002275228,0.009237976,5.85E-01
0.053913001,-0.002248,0.009543,0.053437813,-0.002293101,0.009316603,5.88E-01
0.053888999,-0.002186,0.009575,0.053488608,-0.002297697,0.009248301,5.91E-01
0.053902,-0.002206,0.009555,0.053283346,-0.002222312,0.009271173,5.95E-01
0.053874999,-0.002157,0.009591,0.053372253,-0.002147956,0.009263492,5.98E-01
0.053865001,-0.002158,0.009597,0.053587003,-0.002065007,0.009339318,6.01E-01
0.053865999,-0.002196,0.00957,0.053613047,-0.002217613,0.009276605,6.05E-01
0.053835999,-0.002166,0.00962,0.053434579,-0.002267697,0.009306977,6.09E-01
0.053835001,-0.002171,0.009604,0.053264975,-0.002150894,0.009368622,6.13E-01
0.053816002,-0.002186,0.009595,0.053458282,-0.00216696,0.009331756,6.18E-01
0.053789001,-0.002192,0.009598,0.053418996,-0.002173406,0.009367149,6.23E-01
0.053764999,-0.002196,0.009613,0.053172979,-0.0021689,0.009379662,6.29E-01
0.053739,-0.002178,0.009627,0.05327971,-0.002177257,0.009392929,6.34E-01
0.053741001,-0.0022,0.009608,0.053185735,-0.002235462,0.009406277,6.39E-01
0.053750001,-0.002222,0.009603,0.053312021,-0.002165012,0.009370052,6.44E-01
0.053743001,-0.002219,0.00961,0.053320708,-0.002120665,0.009356911,6.47E-01
0.053745002,-0.002222,0.009613,0.053325506,-0.002135397,0.009437501,6.50E-01
0.053743001,-0.002218,0.009605,0.053044705,-0.002207292,0.009383963,6.51E-01
0.053741999,-0.002209,0.009602,0.053299982,-0.002133559,0.009417054,6.50E-01
0.053725,-0.00218,0.00963,0.053466113,-0.002155823,0.009411028,6.47E-01
0.053743999,-0.002216,0.009614,0.053417953,-0.00210136,0.009512511,6.42E-01
0.053725999,-0.00219,0.009634,0.053470512,-0.002191736,0.009380639,6.34E-01
0.053754002,-0.002245,0.009601,0.053049439,-0.002070986,0.009459457,6.23E-01
0.053745002,-0.00223,0.009609,0.053273833,-0.002112706,0.0094895,6.10E-01
0.053743001,-0.002216,0.009601,0.052997404,-0.001982355,0.009577197,5.93E-01
0.053695999,-0.002185,0.009635,0.053344344,-0.001999848,0.009437649,5.74E-01
0.053630002,-0.002197,0.009661,0.053010255,-0.001945436,0.009535561,5.53E-01
0.053566001,-0.00222,0.009661,0.05308266,-0.002054092,0.009491161,5.29E-01
0.053465001,-0.00225,0.009647,0.053193858,-0.002069227,0.00951717,5.04E-01
0.053323999,-0.002259,0.009675,0.0531575,-0.002045431,0.009465671,4.77E-01
0.053142,-0.002244,0.009714,0.053046978,-0.002068897,0.009433896,4.49E-01
0.052958,-0.002241,0.009752,0.052795563,-0.002031166,0.009491061,4.21E-01
0.052776001,-0.002272,0.009768,0.053060759,-0.00205556,0.009464601,3.94E-01
0.052574001,-0.002302,0.009802,0.053018829,-0.002155775,0.00952028,3.66E-01
0.052390002,-0.00229,0.009827,0.052937239,-0.002106734,0.009543777,3.40E-01
0.052184001,-0.002238,0.009856,0.052814073,-0.002094311,0.009553068,3.15E-01
0.052056,-0.002306,0.009788,0.052666295,-0.002119683,0.009566169,2.91E-01
0.051910002,-0.002253,0.009832,0.052816326,-0.002236738,0.009585735,2.69E-01
0.051812001,-0.00222,0.009842,0.052749586,-0.002133662,0.009638264,2.50E-01
0.051720001,-0.002168,0.009885,0.052397268,-0.0020823,0.009648497,2.33E-01
0.051661,-0.002171,0.009909,0.052302425,-0.002130262,0.009741146,2.17E-01
0.051642001,-0.002189,0.009894,0.052251953,-0.002070743,0.009750567,2.05E-01
0.051610999,-0.002184,0.009919,0.052176282,-0.002045786,0.009744512,1.94E-01
0.051596001,-0.002204,0.009897,0.052151178,-0.002180637,0.009669592,1.85E-01
0.051546998,-0.002173,0.009931,0.051670978,-0.00225527,0.009652377,1.78E-01
0.051486999,-0.002165,0.00996,0.052036198,-0.002382572,0.009606208,1.72E-01
0.051408999,-0.002157,0.00997,0.052092907,-0.002216564,0.009681001,1.68E-01
0.051321998,-0.00216,0.009987,0.052175067,-0.00224195,0.009640014,1.65E-01
0.051197,-0.002144,0.009996,0.051896691,-0.002346499,0.009645664,1.62E-01
0.051040001,-0.0021,0.010039,0.052152776,-0.002359672,0.009689564,1.60E-01
0.050928,-0.002097,0.010036,0.051778668,-0.002231498,0.009782481,1.59E-01
0.050790001,-0.002029,0.010078,0.051696143,-0.002290425,0.00964576,1.57E-01
0.050678,-0.00202,0.010086,0.051402732,-0.002220931,0.009775828,1.56E-01
0.050572,-0.001993,0.010095,0.051245375,-0.00227004,0.009745518,1.54E-01
0.050471999,-0.00195,0.010145,0.051322671,-0.002261434,0.009774001,1.53E-01
0.050397001,-0.001953,0.01016,0.051050398,-0.002273375,0.009709293,1.52E-01
0.050322,-0.001977,0.01018,0.051038276,-0.002291085,0.009680226,1.51E-01
0.050292,-0.002038,0.010155,0.050940382,-0.002216599,0.009758986,1.50E-01
0.050195001,-0.001996,0.010206,0.050481237,-0.002206172,0.009751064,1.49E-01
0.050140999,-0.002025,0.010197,0.050608751,-0.002180806,0.009775572,1.49E-01
0.050067998,-0.002023,0.010218,0.050574295,-0.002139365,0.009827661,1.48E-01
0.049945999,-0.001994,0.010275,0.050504634,-0.002112923,0.009834674,1.48E-01
0.049869999,-0.002053,0.010273,0.050320194,-0.00209244,0.009966037,1.48E-01
0.049729999,-0.002016,0.010347,0.050254254,-0.002135808,0.009976214,1.48E-01
0.049589999,-0.002033,0.010377,0.050396615,-0.002172959,0.009883634,1.47E-01
0.049410999,-0.001986,0.01045,0.049999289,-0.002228423,0.009963558,1.47E-01
0.049302001,-0.001998,0.01047,0.050111664,-0.002149761,0.009927085,1.46E-01
0.049222998,-0.001996,0.010496,0.049943467,-0.002206928,0.009949769,1.46E-01
0.049169999,-0.001998,0.010512,0.049702603,-0.002095351,0.010001893,1.45E-01
0.049121998,-0.002005,0.010531,0.049597683,-0.002000894,0.010109316,1.45E-01
0.049089,-0.002013,0.010531,0.049823967,-0.002107639,0.010058099,1.44E-01
0.049031999,-0.001986,0.010572,0.049611666,-0.00206099,0.010150862,1.44E-01
0.048960999,-0.001963,0.01061,0.049521393,-0.00201713,0.010167485,1.44E-01
0.048930999,-0.002024,0.010585,0.049425781,-0.001998086,0.010250427,1.44E-01
0.048870001,-0.002036,0.010587,0.049336586,-0.001984753,0.010332792,1.46E-01
0.048778001,-0.002025,0.010633,0.049070561,-0.001967416,0.010315178,1.49E-01
0.048703,-0.002048,0.010637,0.049035008,-0.002054887,0.010310855,1.52E-01
0.048572,-0.001963,0.01073,0.048618226,-0.001937885,0.010452905,1.58E-01
0.048494998,-0.002002,0.010709,0.048497398,-0.001875353,0.010529973,1.65E-01
0.048362002,-0.001968,0.010736,0.048518568,-0.00191674,0.010525973,1.75E-01
0.048232999,-0.001921,0.010754,0.048642147,-0.001964453,0.010478702,1.87E-01
0.048106998,-0.001918,0.010724,0.048532499,-0.001956403,0.010425908,2.02E-01
0.047938,-0.001837,0.010784,0.048399929,-0.001975494,0.010554146,2.20E-01
0.047812998,-0.001847,0.010783,0.04835088,-0.002010416,0.010560949,2.42E-01
0.047674,-0.001851,0.010801,0.048045833,-0.001963634,0.010620232,2.66E-01
0.047584999,-0.001883,0.010792,0.047909947,-0.00195911,0.010623575,2.93E-01
0.047495,-0.001875,0.010795,0.047846696,-0.001990402,0.010674874,3.24E-01
0.047451999,-0.001864,0.0108,0.047594326,-0.001961305,0.010691927,3.56E-01
0.047412001,-0.001836,0.010796,0.047539811,-0.001946977,0.010686638,3.91E-01
0.047384001,-0.001811,0.010822,0.047286456,-0.001968178,0.010558411,4.27E-01
0.047384001,-0.001814,0.010817,0.047206029,-0.001957087,0.010629923,4.64E-01
0.047378,-0.001809,0.010814,0.047190631,-0.001944091,0.010612628,5.01E-01
0.047371,-0.001808,0.010824,0.047348217,-0.001930655,0.010630638,5.38E-01
0.047370002,-0.001819,0.0108,0.047266356,-0.002022692,0.010621987,5.74E-01
0.047343001,-0.001775,0.010845,0.047339633,-0.001992318,0.010634851,6.09E-01
0.047350001,-0.001802,0.01083,0.04701519,-0.001983038,0.0106804,6.43E-01
0.047334,-0.0018,0.010827,0.046942683,-0.001933667,0.010756504,6.75E-01
0.047324002,-0.001806,0.010827,0.04685966,-0.00188169,0.010724514,7.05E-01
0.047272,-0.001747,0.010874,0.046861116,-0.001950878,0.010727563,7.33E-01
0.047299001,-0.001821,0.010814,0.046767487,-0.001895021,0.010828647,7.58E-01
0.047256,-0.001765,0.010852,0.046784139,-0.001869219,0.010808398,7.82E-01
0.04724,-0.001759,0.010853,0.04666672,-0.001885925,0.010771599,8.02E-01
0.047228999,-0.001758,0.010857,0.046663521,-0.001800876,0.01086665,8.21E-01
0.047242999,-0.001794,0.010828,0.0466031,-0.001806941,0.010889077,8.37E-01
0.047242999,-0.00181,0.010822,0.046603291,-0.001815719,0.010891558,8.52E-01
0.047210999,-0.001775,0.010846,0.046312334,-0.00176629,0.011007473,8.64E-01
0.047223002,-0.001797,0.010826,0.046415575,-0.001766609,0.011009456,8.75E-01
0.047203001,-0.00178,0.010852,0.046286007,-0.001733046,0.010974102,8.84E-01
0.047161002,-0.001755,0.010875,0.046364379,-0.001769405,0.010879054,8.91E-01
0.047164999,-0.001794,0.010843,0.046353631,-0.001789003,0.010820708,8.98E-01
0.047148999,-0.001772,0.01086,0.046627046,-0.001847908,0.010798501,9.03E-01
0.047114,-0.001739,0.010892,0.046567953,-0.0018361,0.010864035,9.08E-01
0.047120001,-0.001774,0.010875,0.046235577,-0.001856724,0.010848104,9.11E-01
0.047116999,-0.001785,0.010869,0.046294686,-0.001844685,0.0108373,9.14E-01
0.047109999,-0.001788,0.010859,0.046472742,-0.001876551,0.010926032,9.17E-01
0.047118999,-0.001819,0.010839,0.04663854,-0.001797319,0.010828948,9.19E-01
0.047107,-0.001801,0.010858,0.04646893,-0.001737106,0.010926288,9.20E-01
0.047079999,-0.001761,0.010884,0.046436366,-0.001729682,0.010904038,9.21E-01
0.047072001,-0.001772,0.010894,0.046452245,-0.001804561,0.010922342,9.21E-01
0.047035001,-0.001743,0.010908,0.046315246,-0.001835002,0.010887055,9.20E-01
0.047042001,-0.001799,0.010879,0.046306694,-0.001825661,0.010812552,9.18E-01
0.047013,-0.001793,0.010889,0.046300914,-0.001785215,0.010840968,9.15E-01
0.046978999,-0.001766,0.010918,0.04620406,-0.001721621,0.010919155,9.11E-01
0.046991002,-0.001783,0.010895,0.046032416,-0.001740852,0.010919507,9.05E-01
0.046997,-0.001786,0.010892,0.046092153,-0.001932905,0.010836407,8.98E-01
0.046980001,-0.00177,0.010901,0.046228525,-0.001897054,0.010810971,8.89E-01
0.046953999,-0.001764,0.010912,0.046214974,-0.001749671,0.010911866,8.77E-01
0.046937998,-0.001765,0.010919,0.046147271,-0.001765412,0.010811472,8.64E-01
0.04693,-0.001793,0.010894,0.046182289,-0.001757223,0.010904269,8.49E-01
0.046866,-0.001725,0.010951,0.04621432,-0.001695646,0.010904122,8.31E-01
0.046893999,-0.001795,0.01088,0.045914848,-0.001750221,0.010924105,8.11E-01
0.046866,-0.001794,0.010869,0.046011388,-0.001824976,0.010838439,7.89E-01
0.046805002,-0.001767,0.010885,0.046034404,-0.001830561,0.010795595,7.65E-01
0.046766002,-0.001743,0.010917,0.046131362,-0.001849408,0.010809451,7.39E-01
0.046762999,-0.001784,0.010872,0.046017702,-0.001763424,0.010919126,7.11E-01
0.046716999,-0.00178,0.010871,0.046185872,-0.001782375,0.010928159,6.81E-01
0.046647001,-0.001736,0.010911,0.046065751,-0.00178019,0.010897463,6.51E-01
0.046585001,-0.001749,0.0109,0.045954722,-0.001744319,0.010959707,6.20E-01
0.046510998,-0.001763,0.010876,0.046203265,-0.0017416,0.01090132,5.88E-01
0.046390999,-0.001747,0.0109,0.046164426,-0.001783761,0.010888052,5.56E-01
0.046277002,-0.001754,0.010902,0.046223717,-0.001747808,0.010904544,5.25E-01
0.046112999,-0.001691,0.010935,0.046375488,-0.001792192,0.010894931,4.95E-01
0.045967001,-0.001705,0.0109,0.046272922,-0.001744425,0.010891553,4.65E-01
0.045837,-0.001761,0.010854,0.045929014,-0.001797834,0.01090366,4.36E-01
0.045588002,-0.001683,0.010923,0.045792994,-0.00180487,0.010869816,4.09E-01
0.045460999,-0.001749,0.010856,0.045831626,-0.00177607,0.01089962,3.82E-01
0.045299999,-0.001718,0.010883,0.04593019,-0.0017264,0.010918348,3.58E-01
0.045159999,-0.001691,0.01092,0.045857744,-0.001734502,0.010944543,3.35E-01
0.045063,-0.001676,0.010931,0.0459969,-0.001794539,0.010953478,3.13E-01
0.044980001,-0.001681,0.010923,0.045800866,-0.001724249,0.010947018,2.93E-01
0.044929001,-0.001716,0.010937,0.045621345,-0.00169966,0.010950058,2.75E-01
0.044860002,-0.001699,0.01097,0.045377364,-0.00168892,0.010899483,2.58E-01
0.044821002,-0.001721,0.010971,0.045241784,-0.001610149,0.010945234,2.43E-01
0.044778001,-0.001744,0.010983,0.045193274,-0.001685328,0.010861404,2.29E-01
0.044689,-0.001709,0.011008,0.045113968,-0.001686215,0.010993496,2.16E-01
0.044617999,-0.001741,0.011031,0.044942276,-0.001682559,0.010917498,2.05E-01
0.044514999,-0.001757,0.011055,0.044711006,-0.001652516,0.010967677,1.94E-01
0.044427,-0.001814,0.011036,0.044640602,-0.001651591,0.011056794,1.85E-01
0.044325002,-0.001799,0.011061,0.044610553,-0.001556321,0.011106693,1.77E-01
0.044204999,-0.001819,0.011048,0.044263414,-0.001629143,0.011094985,1.70E-01
0.044036999,-0.001737,0.011097,0.044092246,-0.001622456,0.011146909,1.64E-01
0.043963999,-0.001775,0.011042,0.043934555,-0.001646131,0.011099941,1.59E-01
0.043894999,-0.001779,0.011019,0.044190727,-0.001671688,0.011041608,1.55E-01
0.043745,-0.001713,0.011063,0.04413701,-0.001671586,0.011066165,1.52E-01
0.043662999,-0.00176,0.011029,0.044049371,-0.001653766,0.011060289,1.49E-01
0.043586001,-0.001773,0.011031,0.043984918,-0.001733395,0.011107373,1.47E-01
0.043496002,-0.001727,0.011065,0.043726595,-0.001712943,0.011081689,1.45E-01
0.043446999,-0.001747,0.011044,0.043576212,-0.001692031,0.011093227,1.44E-01
0.043379001,-0.001734,0.011026,0.043621743,-0.001623064,0.011088861,1.43E-01
0.043274999,-0.001687,0.01106,0.043517602,-0.001741936,0.011069215,1.42E-01
0.043223999,-0.001779,0.011005,0.043710209,-0.001662731,0.011051178,1.41E-01
0.043086998,-0.001739,0.011047,0.043357927,-0.001606394,0.011139248,1.41E-01
0.043023001,-0.001782,0.011009,0.043093433,-0.001590836,0.011053186,1.40E-01
0.042876001,-0.001718,0.011019,0.043193217,-0.001597718,0.011108161,1.40E-01
0.042764999,-0.001719,0.010975,0.042961585,-0.001605966,0.011021101,1.40E-01
0.042668,-0.001723,0.010955,0.04274467,-0.001596747,0.011105664,1.40E-01
0.042552002,-0.001695,0.010951,0.042694746,-0.001585412,0.011052732,1.40E-01
0.042429,-0.001701,0.01093,0.042932184,-0.001759857,0.010990849,1.41E-01
0.042314,-0.001689,0.010918,0.04281273,-0.001795424,0.011046193,1.43E-01
