frame,t,filtered_signal_norm_offline
4.500000000000000000e+01,1.500000000000000000e+00,3.784602187027423792e-01
4.600000000000000000e+01,1.533333333333333437e+00,3.784602187027423792e-01
4.700000000000000000e+01,1.566666666666666652e+00,3.022908171738608041e-01
4.800000000000000000e+01,1.600000000000000089e+00,3.022908171738608041e-01
4.900000000000000000e+01,1.633333333333333304e+00,2.328288481062699422e-01
5.000000000000000000e+01,1.666666666666666741e+00,2.328288481062699422e-01
5.100000000000000000e+01,1.699999999999999956e+00,1.828499933186907844e-01
5.200000000000000000e+01,1.733333333333333393e+00,1.828499933186907844e-01
5.300000000000000000e+01,1.766666666666666607e+00,1.509748269433508205e-01
5.400000000000000000e+01,1.800000000000000044e+00,1.509748269433508205e-01
5.500000000000000000e+01,1.833333333333333259e+00,1.348881862864440839e-01
5.600000000000000000e+01,1.866666666666666696e+00,1.348881862864440839e-01
5.700000000000000000e+01,1.899999999999999911e+00,1.395511130329314675e-01
5.800000000000000000e+01,1.933333333333333348e+00,1.395511130329314675e-01
5.900000000000000000e+01,1.966666666666666563e+00,1.690268877135788494e-01
6.000000000000000000e+01,2.000000000000000000e+00,1.690268877135788494e-01
6.100000000000000000e+01,2.033333333333333215e+00,2.117144726047393843e-01
6.200000000000000000e+01,2.066666666666666874e+00,2.117144726047393843e-01
6.300000000000000000e+01,2.100000000000000089e+00,2.544536970233945428e-01
6.400000000000000000e+01,2.133333333333333304e+00,2.544536970233945428e-01
6.500000000000000000e+01,2.166666666666666519e+00,2.862150720120608671e-01
6.600000000000000000e+01,2.200000000000000178e+00,2.862150720120608671e-01
6.700000000000000000e+01,2.233333333333333393e+00,3.072880272579129324e-01
6.800000000000000000e+01,2.266666666666666607e+00,3.072880272579129324e-01
6.900000000000000000e+01,2.299999999999999822e+00,3.191128802019650434e-01
7.000000000000000000e+01,2.333333333333333481e+00,3.191128802019650434e-01
7.100000000000000000e+01,2.366666666666666696e+00,3.249281597518398623e-01
7.200000000000000000e+01,2.399999999999999911e+00,3.249281597518398623e-01
7.300000000000000000e+01,2.433333333333333126e+00,3.324875202870887225e-01
7.400000000000000000e+01,2.466666666666666785e+00,3.324875202870887225e-01
7.500000000000000000e+01,2.500000000000000000e+00,3.481282580273368787e-01
7.600000000000000000e+01,2.533333333333333215e+00,3.481282580273368787e-01
7.700000000000000000e+01,2.566666666666666874e+00,3.677845775881711798e-01
7.800000000000000000e+01,2.600000000000000089e+00,3.677845775881711798e-01
7.900000000000000000e+01,2.633333333333333304e+00,3.886312207034284261e-01
8.000000000000000000e+01,2.666666666666666519e+00,3.886312207034284261e-01
8.100000000000000000e+01,2.700000000000000178e+00,4.064541230631731339e-01
8.200000000000000000e+01,2.733333333333333393e+00,4.064541230631731339e-01
8.300000000000000000e+01,2.766666666666666607e+00,4.199010438756066721e-01
8.400000000000000000e+01,2.799999999999999822e+00,4.199010438756066721e-01
8.500000000000000000e+01,2.833333333333333481e+00,4.301307944504654812e-01
8.600000000000000000e+01,2.866666666666666696e+00,4.301307944504654812e-01
8.700000000000000000e+01,2.899999999999999911e+00,4.389462849776678555e-01
8.800000000000000000e+01,2.933333333333333126e+00,4.389462849776678555e-01
8.900000000000000000e+01,2.966666666666666785e+00,4.473168508526564335e-01
9.000000000000000000e+01,3.000000000000000000e+00,4.473168508526564335e-01
9.100000000000000000e+01,3.033333333333333215e+00,4.550270931789947571e-01
9.200000000000000000e+01,3.066666666666666874e+00,4.550270931789947571e-01
9.300000000000000000e+01,3.100000000000000089e+00,4.512402068553954537e-01
9.400000000000000000e+01,3.133333333333333304e+00,4.512402068553954537e-01
9.500000000000000000e+01,3.166666666666666519e+00,4.408619230144570911e-01
9.600000000000000000e+01,3.200000000000000178e+00,4.408619230144570911e-01
9.700000000000000000e+01,3.233333333333333393e+00,4.387478382100387098e-01
9.800000000000000000e+01,3.266666666666666607e+00,4.387478382100387098e-01
9.900000000000000000e+01,3.299999999999999822e+00,4.511120432502173094e-01
1.000000000000000000e+02,3.333333333333333481e+00,4.511120432502173094e-01
1.010000000000000000e+02,3.366666666666666696e+00,5.221529514538858496e-01
1.020000000000000000e+02,3.399999999999999911e+00,5.221529514538858496e-01
1.030000000000000000e+02,3.433333333333333126e+00,6.243731292908382136e-01
1.040000000000000000e+02,3.466666666666666785e+00,6.243731292908382136e-01
1.050000000000000000e+02,3.500000000000000000e+00,7.394067433440625337e-01
1.060000000000000000e+02,3.533333333333333215e+00,7.394067433440625337e-01
1.070000000000000000e+02,3.566666666666666874e+00,8.404428778629859931e-01
1.080000000000000000e+02,3.600000000000000089e+00,8.404428778629859931e-01
1.090000000000000000e+02,3.633333333333333304e+00,9.284274747830792984e-01
1.100000000000000000e+02,3.666666666666666519e+00,9.284274747830792984e-01
1.110000000000000000e+02,3.700000000000000178e+00,9.806948591565142204e-01
1.120000000000000000e+02,3.733333333333333393e+00,9.806948591565142204e-01
1.130000000000000000e+02,3.766666666666666607e+00,1.005801988926932511e+00
1.140000000000000000e+02,3.799999999999999822e+00,1.005801988926932511e+00
1.150000000000000000e+02,3.833333333333333481e+00,1.013717676286315816e+00
1.160000000000000000e+02,3.866666666666666696e+00,1.013717676286315816e+00
1.170000000000000000e+02,3.899999999999999911e+00,1.007411456930884075e+00
1.180000000000000000e+02,3.933333333333333126e+00,1.007411456930884075e+00
1.190000000000000000e+02,3.966666666666666785e+00,9.848807301759887611e-01
1.200000000000000000e+02,4.000000000000000000e+00,9.848807301759887611e-01
1.210000000000000000e+02,4.033333333333333215e+00,9.477246242023542599e-01
1.220000000000000000e+02,4.066666666666666430e+00,9.477246242023542599e-01
1.230000000000000000e+02,4.099999999999999645e+00,9.037223528409762396e-01
1.240000000000000000e+02,4.133333333333333748e+00,9.037223528409762396e-01
1.250000000000000000e+02,4.166666666666666963e+00,8.577814575365362293e-01
1.260000000000000000e+02,4.200000000000000178e+00,8.577814575365362293e-01
1.270000000000000000e+02,4.233333333333333393e+00,8.123389141586686568e-01
1.280000000000000000e+02,4.266666666666666607e+00,8.123389141586686568e-01
1.290000000000000000e+02,4.299999999999999822e+00,7.693520481401523448e-01
1.300000000000000000e+02,4.333333333333333037e+00,7.693520481401523448e-01
1.310000000000000000e+02,4.366666666666666252e+00,7.372167156338302885e-01
1.320000000000000000e+02,4.400000000000000355e+00,7.372167156338302885e-01
1.330000000000000000e+02,4.433333333333333570e+00,7.130017187374753096e-01
1.340000000000000000e+02,4.466666666666666785e+00,7.130017187374753096e-01
1.350000000000000000e+02,4.500000000000000000e+00,6.946037908976968600e-01
1.360000000000000000e+02,4.533333333333333215e+00,6.946037908976968600e-01
1.370000000000000000e+02,4.566666666666666430e+00,6.729450842557315182e-01
1.380000000000000000e+02,4.599999999999999645e+00,6.729450842557315182e-01
1.390000000000000000e+02,4.633333333333333748e+00,6.458560827772925617e-01
1.400000000000000000e+02,4.666666666666666963e+00,6.458560827772925617e-01
1.410000000000000000e+02,4.700000000000000178e+00,6.168576425775593730e-01
1.420000000000000000e+02,4.733333333333333393e+00,6.168576425775593730e-01
1.430000000000000000e+02,4.766666666666666607e+00,5.881143283253231768e-01
1.440000000000000000e+02,4.799999999999999822e+00,5.881143283253231768e-01
1.450000000000000000e+02,4.833333333333333037e+00,5.509178819536474370e-01
1.460000000000000000e+02,4.866666666666666252e+00,5.509178819536474370e-01
1.470000000000000000e+02,4.900000000000000355e+00,5.096278836536941581e-01
1.480000000000000000e+02,4.933333333333333570e+00,5.096278836536941581e-01
1.490000000000000000e+02,4.966666666666666785e+00,4.314205699953884143e-01
1.500000000000000000e+02,5.000000000000000000e+00,4.314205699953884143e-01
1.510000000000000000e+02,5.033333333333333215e+00,3.351908067049100826e-01
1.520000000000000000e+02,5.066666666666666430e+00,3.351908067049100826e-01
1.530000000000000000e+02,5.099999999999999645e+00,2.500115886405346877e-01
1.540000000000000000e+02,5.133333333333333748e+00,2.500115886405346877e-01
1.550000000000000000e+02,5.166666666666666963e+00,1.837071111998072326e-01
1.560000000000000000e+02,5.200000000000000178e+00,1.837071111998072326e-01
1.570000000000000000e+02,5.233333333333333393e+00,1.316742464471857277e-01
1.580000000000000000e+02,5.266666666666666607e+00,1.316742464471857277e-01
1.590000000000000000e+02,5.299999999999999822e+00,9.677419354838706633e-02
1.600000000000000000e+02,5.333333333333333037e+00,9.677419354838706633e-02
1.610000000000000000e+02,5.366666666666666252e+00,7.547036688044998776e-02
1.620000000000000000e+02,5.400000000000000355e+00,7.547036688044998776e-02
1.630000000000000000e+02,5.433333333333333570e+00,6.885973454757592094e-02
1.640000000000000000e+02,5.466666666666666785e+00,6.885973454757592094e-02
1.650000000000000000e+02,5.500000000000000000e+00,7.121763255829577366e-02
1.660000000000000000e+02,5.533333333333333215e+00,7.121763255829577366e-02
1.670000000000000000e+02,5.566666666666666430e+00,8.314334677736838486e-02
1.680000000000000000e+02,5.599999999999999645e+00,8.314334677736838486e-02
1.690000000000000000e+02,5.633333333333333748e+00,9.585612996983282341e-02
1.700000000000000000e+02,5.666666666666666963e+00,9.585612996983282341e-02
1.710000000000000000e+02,5.700000000000000178e+00,1.084276062214022396e-01
1.720000000000000000e+02,5.733333333333333393e+00,1.084276062214022396e-01
1.730000000000000000e+02,5.766666666666666607e+00,1.203177041655744822e-01
1.740000000000000000e+02,5.799999999999999822e+00,1.203177041655744822e-01
1.750000000000000000e+02,5.833333333333333037e+00,1.379171599727160025e-01
1.760000000000000000e+02,5.866666666666666252e+00,1.379171599727160025e-01
1.770000000000000000e+02,5.900000000000000355e+00,1.653373751979034523e-01
1.780000000000000000e+02,5.933333333333333570e+00,1.653373751979034523e-01
1.790000000000000000e+02,5.966666666666666785e+00,1.972371653870424180e-01
1.800000000000000000e+02,6.000000000000000000e+00,1.972371653870424180e-01
1.810000000000000000e+02,6.033333333333333215e+00,2.275649680944601683e-01
1.820000000000000000e+02,6.066666666666666430e+00,2.275649680944601683e-01
1.830000000000000000e+02,6.099999999999999645e+00,2.555239036616455128e-01
1.840000000000000000e+02,6.133333333333333748e+00,2.555239036616455128e-01
1.850000000000000000e+02,6.166666666666666963e+00,2.818514794323023764e-01
1.860000000000000000e+02,6.200000000000000178e+00,2.818514794323023764e-01
1.870000000000000000e+02,6.233333333333333393e+00,3.073093227460699239e-01
1.880000000000000000e+02,6.266666666666666607e+00,3.073093227460699239e-01
1.890000000000000000e+02,6.299999999999999822e+00,3.296998530646275127e-01
1.900000000000000000e+02,6.333333333333333037e+00,3.296998530646275127e-01
1.910000000000000000e+02,6.366666666666666252e+00,3.505622281347554603e-01
1.920000000000000000e+02,6.400000000000000355e+00,3.505622281347554603e-01
1.930000000000000000e+02,6.433333333333333570e+00,3.679547704173582456e-01
1.940000000000000000e+02,6.466666666666666785e+00,3.679547704173582456e-01
1.950000000000000000e+02,6.500000000000000000e+00,3.824761130392392849e-01
1.960000000000000000e+02,6.533333333333333215e+00,3.824761130392392849e-01
1.970000000000000000e+02,6.566666666666666430e+00,3.946154506801381467e-01
1.980000000000000000e+02,6.599999999999999645e+00,3.946154506801381467e-01
1.990000000000000000e+02,6.633333333333333748e+00,4.061268651798091156e-01
2.000000000000000000e+02,6.666666666666666963e+00,4.061268651798091156e-01
2.010000000000000000e+02,6.700000000000000178e+00,4.185600311386204475e-01
2.020000000000000000e+02,6.733333333333333393e+00,4.185600311386204475e-01
2.030000000000000000e+02,6.766666666666666607e+00,4.570668531527086187e-01
2.040000000000000000e+02,6.799999999999999822e+00,4.570668531527086187e-01
2.050000000000000000e+02,6.833333333333333037e+00,5.090983784181574157e-01
2.060000000000000000e+02,6.866666666666666252e+00,5.090983784181574157e-01
2.070000000000000000e+02,6.900000000000000355e+00,5.738562257655577259e-01
2.080000000000000000e+02,6.933333333333333570e+00,5.738562257655577259e-01
2.090000000000000000e+02,6.966666666666666785e+00,6.357297137725836933e-01
2.100000000000000000e+02,7.000000000000000000e+00,6.357297137725836933e-01
2.110000000000000000e+02,7.033333333333333215e+00,6.929604289798090289e-01
2.120000000000000000e+02,7.066666666666666430e+00,6.929604289798090289e-01
2.130000000000000000e+02,7.099999999999999645e+00,7.447336045187100684e-01
2.140000000000000000e+02,7.133333333333333748e+00,7.447336045187100684e-01
2.150000000000000000e+02,7.166666666666666963e+00,7.866544678576158356e-01
2.160000000000000000e+02,7.200000000000000178e+00,7.866544678576158356e-01
2.170000000000000000e+02,7.233333333333333393e+00,8.207779208978478458e-01
2.180000000000000000e+02,7.266666666666666607e+00,8.207779208978478458e-01
2.190000000000000000e+02,7.299999999999999822e+00,8.387483305289089586e-01
2.200000000000000000e+02,7.333333333333333037e+00,8.387483305289089586e-01
2.210000000000000000e+02,7.366666666666666252e+00,8.456752006901933072e-01
2.220000000000000000e+02,7.400000000000000355e+00,8.456752006901933072e-01
2.230000000000000000e+02,7.433333333333333570e+00,8.375734108563009928e-01
2.240000000000000000e+02,7.466666666666666785e+00,8.375734108563009928e-01
2.250000000000000000e+02,7.500000000000000000e+00,8.210055258006045964e-01
2.260000000000000000e+02,7.533333333333333215e+00,8.210055258006045964e-01
2.270000000000000000e+02,7.566666666666666430e+00,8.002395814513763028e-01
2.280000000000000000e+02,7.599999999999999645e+00,8.002395814513763028e-01
2.290000000000000000e+02,7.633333333333333748e+00,7.818135425024946850e-01
2.300000000000000000e+02,7.666666666666666963e+00,7.818135425024946850e-01
2.310000000000000000e+02,7.700000000000000178e+00,7.663801275513971722e-01
